% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 49.32   24.194967          53    448382     60562 futex
 23.73   11.641032       50613       230           wait4
 16.81    8.245688         478     17220           poll
  2.83    1.386151        7875       176           clock_nanosleep
  2.13    1.046104           6    173388           read
  1.48    0.725231          17     40673           brk
  1.41    0.690376           4    156146      1293 openat
  0.95    0.467268           2    161406           close
  0.54    0.264527          11     22759           write
  0.29    0.143101           2     55343        14 fstat
  0.11    0.052601         295       178           vfork
  0.10    0.047859          31      1526           getdents64
  0.08    0.041469           4      8582           mmap
  0.04    0.018365          25       710       531 execve
  0.03    0.014797           0     14821           rt_sigaction
  0.03    0.014480           4      3228           munmap
  0.02    0.011333           7      1489           mprotect
  0.02    0.008567           2      3198      3014 ioctl
  0.01    0.007204           2      2884       357 lseek
  0.01    0.006222           4      1274        12 newfstatat
  0.01    0.005916          42       140        23 restart_syscall
  0.01    0.005912         739         8           clone
  0.01    0.003073           5       551           pipe2
  0.00    0.002363           1      2216       179 stat
  0.00    0.001778           1      1285           rt_sigprocmask
  0.00    0.001281           3       373           getrandom
  0.00    0.000644           2       270           getpid
  0.00    0.000641           3       179       179 access
  0.00    0.000634           3       179           sched_getaffinity
  0.00    0.000512           2       180           prlimit64
  0.00    0.000495           2       182           rseq
  0.00    0.000462          57         8           sched_setaffinity
  0.00    0.000435          18        23           madvise
  0.00    0.000425           2       177           geteuid
  0.00    0.000417           2       179           arch_prctl
  0.00    0.000411           2       190           set_robust_list
  0.00    0.000409           2       179           set_tid_address
  0.00    0.000088           4        20        13 readlink
  0.00    0.000061           0       355           dup2
  0.00    0.000057          57         1           readlinkat
  0.00    0.000046           1        40           lstat
  0.00    0.000036           1        24           gettid
  0.00    0.000031          10         3           clone3
  0.00    0.000026           2        13           unlink
  0.00    0.000024           4         6           link
  0.00    0.000022          22         1           mremap
  0.00    0.000022           3         7           fcntl
  0.00    0.000003           1         3           uname
  0.00    0.000001           1         1           ftruncate
  0.00    0.000001           1         1           statfs
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         1           mbind
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ------------------
100.00   49.053568          43   1120411     66177 total
