Sun Aug 16 11:34:14 2026    profiling/cprofile_n50.prof

         20557346 function calls (20545910 primitive calls) in 12.127 seconds

   Ordered by: internal time
   List reduced from 2440 to 10 due to restriction <10>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1261568    4.902    0.000    6.980    0.000 /home/desadm/Projects/openqcp-lab/tools/paulikit/src/paulikit/algorithms/fwht.py:189(pauli_label)
        1    2.126    2.126   11.708   11.708 /home/desadm/Projects/openqcp-lab/tools/paulikit/src/paulikit/algorithms/fwht.py:216(fwht_pauli_terms)
 13901649    1.802    0.000    1.802    0.000 {method 'append' of 'list' objects}
        1    0.587    0.587    1.042    1.042 /home/desadm/Projects/openqcp-lab/tools/paulikit/src/paulikit/algorithms/fwht.py:95(_walsh_hadamard_transform_rows)
       24    0.472    0.020    0.472    0.020 {method 'copy' of 'numpy.ndarray' objects}
        1    0.433    0.433    0.463    0.463 /home/desadm/Projects/openqcp-lab/tools/paulikit/src/paulikit/algorithms/fwht.py:76(_popcount_array)
  2523136    0.404    0.000    0.404    0.000 {built-in method builtins.abs}
  1262630    0.288    0.000    0.289    0.000 {built-in method builtins.max}
  1267794    0.283    0.000    0.284    0.000 {method 'join' of 'str' objects}
        1    0.274    0.274    1.812    1.812 /home/desadm/Projects/openqcp-lab/tools/paulikit/src/paulikit/algorithms/fwht.py:131(fwht_pauli_coefficients)


